what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1336933938160
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336933940327
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336933940476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934003216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934027179
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1336934073356
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1336934073395
activated,editor,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.editors.layout.LayoutEditor",1336934074994
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336934083669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336934089194
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1336934102226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336934103595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934139131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934140400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934177042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934187927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934192529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934200375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934202891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934214354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336934238127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336934289437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934312536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934326125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934346736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934349748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336934370423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934374975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934378864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934405015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934476907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934480953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336934548362
